,品类,日期,数量
365,中性乐福鞋,2015-06-12,3.0
366,中性乐福鞋,2015-06-13,1.0
367,中性乐福鞋,2015-06-14,3.0
368,中性乐福鞋,2015-06-15,3.0
369,中性乐福鞋,2015-06-16,4.0
370,中性乐福鞋,2015-06-17,0.0
371,中性乐福鞋,2015-06-18,2.0
372,中性乐福鞋,2015-06-19,2.0
373,中性乐福鞋,2015-06-20,3.0
374,中性乐福鞋,2015-06-21,6.0
375,中性乐福鞋,2015-06-22,1.0
376,中性乐福鞋,2015-06-23,-1.0
377,中性乐福鞋,2015-06-24,2.0
378,中性乐福鞋,2015-06-25,1.0
379,中性乐福鞋,2015-06-26,5.0
380,中性乐福鞋,2015-06-27,1.0
381,中性乐福鞋,2015-06-28,2.0
382,中性乐福鞋,2015-07-01,1.0
383,中性乐福鞋,2015-07-02,4.0
384,中性乐福鞋,2015-07-03,2.0
385,中性乐福鞋,2015-07-04,6.0
386,中性乐福鞋,2015-07-05,7.0
387,中性乐福鞋,2015-07-06,1.0
388,中性乐福鞋,2015-07-07,2.0
389,中性乐福鞋,2015-07-08,1.0
390,中性乐福鞋,2015-07-09,1.0
391,中性乐福鞋,2015-07-10,2.0
392,中性乐福鞋,2015-07-11,1.0
393,中性乐福鞋,2015-07-12,2.0
394,中性乐福鞋,2015-07-14,3.0
395,中性乐福鞋,2015-07-15,1.0
396,中性乐福鞋,2015-07-17,2.0
397,中性乐福鞋,2015-07-18,4.0
398,中性乐福鞋,2015-07-19,7.0
399,中性乐福鞋,2015-07-20,4.0
400,中性乐福鞋,2015-07-21,4.0
401,中性乐福鞋,2015-07-22,3.0
402,中性乐福鞋,2015-07-23,3.0
403,中性乐福鞋,2015-07-24,2.0
404,中性乐福鞋,2015-07-25,5.0
405,中性乐福鞋,2015-07-26,5.0
406,中性乐福鞋,2015-07-27,2.0
407,中性乐福鞋,2015-07-28,1.0
408,中性乐福鞋,2015-07-29,9.0
409,中性乐福鞋,2015-07-30,4.0
410,中性乐福鞋,2015-07-31,3.0
411,中性乐福鞋,2015-08-01,1.0
412,中性乐福鞋,2015-08-02,2.0
413,中性乐福鞋,2015-08-03,1.0
414,中性乐福鞋,2015-08-04,1.0
415,中性乐福鞋,2015-08-05,5.0
416,中性乐福鞋,2015-08-07,7.0
417,中性乐福鞋,2015-08-09,4.0
418,中性乐福鞋,2015-08-10,3.0
419,中性乐福鞋,2015-08-11,3.0
420,中性乐福鞋,2015-08-12,5.0
421,中性乐福鞋,2015-08-13,2.0
422,中性乐福鞋,2015-08-14,2.0
423,中性乐福鞋,2015-08-15,7.0
424,中性乐福鞋,2015-08-16,5.0
425,中性乐福鞋,2015-08-17,5.0
426,中性乐福鞋,2015-08-18,3.0
427,中性乐福鞋,2015-08-19,7.0
428,中性乐福鞋,2015-08-20,10.0
429,中性乐福鞋,2015-08-21,10.0
430,中性乐福鞋,2015-08-22,13.0
431,中性乐福鞋,2015-08-23,13.0
432,中性乐福鞋,2015-08-24,7.0
433,中性乐福鞋,2015-08-25,4.0
434,中性乐福鞋,2015-08-26,9.0
435,中性乐福鞋,2015-08-27,7.0
436,中性乐福鞋,2015-08-28,13.0
437,中性乐福鞋,2015-08-29,15.0
438,中性乐福鞋,2015-08-30,17.0
439,中性乐福鞋,2015-08-31,12.0
440,中性乐福鞋,2015-09-01,8.0
441,中性乐福鞋,2015-09-02,15.0
442,中性乐福鞋,2015-09-03,23.0
443,中性乐福鞋,2015-09-04,17.0
444,中性乐福鞋,2015-09-05,12.0
445,中性乐福鞋,2015-09-06,8.0
446,中性乐福鞋,2015-09-07,15.0
447,中性乐福鞋,2015-09-08,10.0
448,中性乐福鞋,2015-09-09,13.0
449,中性乐福鞋,2015-09-10,12.0
450,中性乐福鞋,2015-09-11,14.0
451,中性乐福鞋,2015-09-12,26.0
452,中性乐福鞋,2015-09-13,23.0
453,中性乐福鞋,2015-09-14,7.0
454,中性乐福鞋,2015-09-15,9.0
455,中性乐福鞋,2015-09-16,14.0
456,中性乐福鞋,2015-09-17,22.0
457,中性乐福鞋,2015-09-18,15.0
458,中性乐福鞋,2015-09-19,49.0
459,中性乐福鞋,2015-09-20,47.0
460,中性乐福鞋,2015-09-21,23.0
461,中性乐福鞋,2015-09-22,22.0
462,中性乐福鞋,2015-09-23,22.0
463,中性乐福鞋,2015-09-24,22.0
464,中性乐福鞋,2015-09-25,17.0
465,中性乐福鞋,2015-09-26,52.0
466,中性乐福鞋,2015-09-27,54.0
467,中性乐福鞋,2015-09-28,27.0
468,中性乐福鞋,2015-09-29,8.0
469,中性乐福鞋,2015-09-30,31.0
470,中性乐福鞋,2015-10-01,59.0
471,中性乐福鞋,2015-10-02,45.0
472,中性乐福鞋,2015-10-03,41.0
473,中性乐福鞋,2015-10-04,45.0
474,中性乐福鞋,2015-10-05,28.0
475,中性乐福鞋,2015-10-06,33.0
476,中性乐福鞋,2015-10-07,36.0
477,中性乐福鞋,2015-10-08,16.0
478,中性乐福鞋,2015-10-09,43.0
479,中性乐福鞋,2015-10-10,38.0
480,中性乐福鞋,2015-10-11,88.0
481,中性乐福鞋,2015-10-12,42.0
482,中性乐福鞋,2015-10-13,38.0
483,中性乐福鞋,2015-10-14,35.0
484,中性乐福鞋,2015-10-15,32.0
485,中性乐福鞋,2015-10-16,30.0
486,中性乐福鞋,2015-10-17,48.0
487,中性乐福鞋,2015-10-18,78.0
488,中性乐福鞋,2015-10-19,28.0
